salesCode,description,usd,ngultrum
E007-YG14,"Double Dorje Stud Earrings, Single Diamond, .01cts 14k Yellow Gold 2.36g",411,30000
E008-DIA-YG14,"Double Dorje Stud Earrings, 14k gold, 4.33g: 29 White Diamonds, .197cts",1137,83000
E008-YG14-BS,"Double Dorje Stud Earrings, 29 Blue Sapphires, .2cts 14k Yellow Gold 4.3g",1137,83000
E008-YG14-GE,"Double Dorje Stud Earrings, 29 Green Emeralds, .2cts 14k Yellow Gold 4.33g",1137,83000
E008-YG14-RR,"Double Dorje Stud Earrings, 14k Yellow Gold, 29 red rubies .2cts",1137,83000
E009-S,AH Syllable Stud Earrings silver 1.16g,35,2500
E009-YG14,"AH Syllable Stud Earrings 14K Yellow Gold, 1.42g",247,18000
E010-B-YG14,"Blue Enamel HUNG syllable stud earrings 14K yellow gold, 1.88g",288,21000
E010-C-YG14,"Green Enamel TAM syllable stud earrings 14K yellow gold, 1.83g",288,21000
E010A-YG14,"White Enamel OM syllable stud earrings 14K yellow gold, 1.95g",288,21000
E010B-YG14,"Blue Enamel HUNG syllable stud earrings 14K yellow gold, 1.88g",288,
E010C-YG14,"Green Enamel TAM syllable stud earrings 14K yellow gold, 1.83g",288,
E010D-YG14,"Red Enamel BAM syllable stud earrings 14K yellow gold, 1.93g",288,21000
E011AA-YG18,"Vajra Earrings , 2 diamonds .026cts 18 Yellow Gold 6.84g",1959,143000
E011AB-YG18,"Vajra and Bell Earrings, 3 diamonds, .039cts 18 Yellow Gold 7.25g",2083,152000
E012-YGP,"Large Melong earrings, silver, gold plated, CZ Diamonds 14.6",179,13000
E013-YG14,"Endless Band Earrings, Solid Gold 14k, 19mm 6.74g",1151,84000
E014-YG14,"Tam Syllable earrings Solid 14k Gold, 7.79g 2 diamonds (.025cts)",1932,141000
E014-YG18,"Tam Syllable earrings 18k gold, 9.39g",2857,208500
E015-S,Hung Syllable Earrings Silver,83,6000
E015-YG14,"Hung Syllable Earrings Solid 14k Gold, 4.19g:",713,52000
E015-YGP,Hung Syllable Earrings Gold Plated 3.35g,96,7000
E016-14K-TQ,"Bumpa Earrings, Turquoise, 14K Gold, clasp 7.15g, Diamonds .038cts 8.28g",1425,104000
E016-YG14-COR,"Bumpa Earrings, Coral, 14K Gold, clasp lock, 7.15g, Diamonds .038cts, 8.28g",1425,
E017-YG14-TQ,"Turquoise 14K Gold Earrings, Gold 9.1 Diamonds .21cts Total Weight 13.72g",2220,162000
E018-S-BCZ,Five pronged vajra earrings silver black diamonds 6g,398,29000
E018BB-S-BD,Five Pronged Bell EarringsSilver Black CZ 6.25g,411,30000
