sku,code,name,category,material,qty,cost,retail,images,productIds
P027-YG14,P027,"Vajra Pendant, Medium Size. pendant only 14k yellow gold 5.77g",Pendants,14k Gold,,,1123.29,7,p076
P027-YG18,P027,"Vajra Pendant, Medium Size. 18k gold, 7.00",Pendants,18k Gold,,,1575.34,,
P027-YG18-DIA,P027,"Vajra Pendant, Medium .076cts white Diamonds 18k Yellow Gold 7.94g",Pendants,18k Gold,,,1479.45,,
P028-YG14,P028,Bell pendant Small Size pendant only 14k Yellow Gold 3.18g,Pendants,14k Gold,,,698.63,5,p075
P029-YG18,P029,"Vajra Pendant, Small Size. pendant only 18 karat yellow gold, 3.36g:",Pendants,18k Gold,,,767.12,3,p023
P030-S,P030,"Melong Pendant, Silver, CZ, With Chain",Pendants,Silver,,,198.63,6,
P030-YG18,P030,"Melong (Mirror), 12 white diamonds, .06cts 18K Yellow Gold 9.8g",Pendants,18k Gold,,,1780.82,8,p077
P031-14K-DIA,P031,,Pendants,14k Gold,,,,4,
P031A-S,P031A,"Single Auspicious Pendant, Parasol, Gold Plated, With chain",Pendants,Silver,,,102.74,5,p050
P031B-S,P031B,"Single Auspicious Pendant, Pair Of Golden Fish, Gold Plated, With chain",Pendants,Silver,,,102.74,5,p051
P031C-S,P031C,"Single Auspicious Pendant, Vase, Gold Plated, With chain",Pendants,Silver,,,102.74,6,p049
P031D-S,P031D,"Single Auspicious Pendant, Lotus, Gold Plated, With chain",Pendants,Silver,,,102.74,7,p046
P031E-S,P031E,"Single Auspicious Pendant, Right Turning Conch, Gold Plated, With chain",Pendants,Silver,,,102.74,6,p047
P031F,P031F,"Single Auspicious Pendant, Endless Knot, Gold Plated, With chain",Pendants,Gold Plated,,,102.74,,p078
P031F-YG14-DIA,P031F,"Single Auspicious Victory Banner, (or any other of the 8 signs), 14Karat white & yellow gold 2.62g Diamonds 0.11 CTS. Pendant Only",Pendants,14k Gold,,,712.33,,p040
P031G-14K-DIA,P031G,,Pendants,14k Gold,,,,1,
P031G-S,P031G,"Single Auspicious Pendant, Victory Banner, Gold Plated, With chain",Pendants,Silver,,,102.74,6,p045
P031H-S,P031H,"Single Auspicious Pendant, Dharma Wheel, Gold Plated, With chain",Pendants,Silver,,,102.74,5,p048
P031S-A,P031S,,Pendants,,,,,4,
P032-14K-MOP,P032,"Laughing Skull Pendant, Gold, Mother Of Pearl 3.2g, .128cts",Pendants,14k Gold,,,767.12,,p073
P032-YG14-MOP,P032,,Pendants,14k Gold,,,,5,
P033-14K-MOP,P033,,Pendants,14k Gold,,,,8,
P033-TT14-MOP,P033,"Clover shaped vajra pendant, white gold, yellow gold, diamonds 3.43g, .153cts",Pendants,White Gold,,,821.92,,
P034-RG14,P034,,Pendants,Rose Gold,,,,3,
P034-RG14-DIA,P034,Endless Knot Diamond Pendant 14k Rose Gold 2.15.g .26cts Diamonds,Pendants,Rose Gold,,,1000,,p053 p061
P034-WG14,P034,,Pendants,White Gold,,,,3,
P034-WG14-DIA,P034,Endless Knot Diamond Pendant 14k White Gold 2.15.g .26cts Diamonds,Pendants,White Gold,,,1000,,p030 p063
P034-YG14,P034,,Pendants,14k Gold,,,,6,
P034-YG14-DIA,P034,Endless Knot Diamond Pendant 14k Yellow Gold 2.15.g .26cts Diamonds,Pendants,14k Gold,,,972.6,,p062 p072
P035-S,P035,Silver Tam Syllable Pendant With Chain TASHI MANNOX DESIGN,Pendants,Silver,,,82.19,4,p091
P035-YG14,P035,"Solid 14K Gold Tam syllable pendant, Pendant only 4.32 grams",Pendants,14k Gold,,,739.73,4,
P036-06-S,P036,,Pendants,Silver,,,,5,
P036-08-YGP,P036,,Pendants,Gold Plated,,,,4,
P037-S,P037,New Ah syllable Pendant Tashi Mannox Design Silver with chain,Pendants,Silver,4,20.5,68.49,5,p071
P037-YG14,P037,New Ah syllable Pendant Tashi Mannox Design 3.40 grams Solid 14k Gold,Pendants,14k Gold,,,582.19,4,p069
P038-S,P038,New Tashi Mannox OM AH HUNG/ Vajra Dogtag pendant,Pendants,Silver,,,191.78,5,p067
P040-YG18,P040,"Hung Syllable Pendant XXL Solid 18k Yellow Gold 7.63g 50mm, 1.191cts",Pendants,18k Gold,,,2726.03,6,
P041-CZ-S,P041,"Tam Syllable Pendant, Silver, CZ Diamonds, With Chain",Pendants,Silver,5,53.75,205.48,5,p018 p059
P042-WG14-DIA,P042,"Tam syllable Pendant White Gold 14k, Diamonds, .262 CTS. With Chain, 1.2g",Pendants,White Gold,,,671.23,7,p034
P042-YG14-DIA,P042,"Tam Syllable Pendant YG14, Diamonds, .25cts, Pendant only, 1.18g",Pendants,14k Gold,,,643.84,7,
P044-YGP,P044,"Tsipatta/ Hung Syllable Gau, openable, Silver, Gold Plated, With Chain 21.68g",Pendants,Gold Plated,,,547.95,9,p032 p060
P045-S,P045,,Pendants,Silver,,,,3,
P045-YGP,P045,"Tara Mantra Pendant Green Agate Tashi Mannox Design silver, gold plated. 34.19g",Pendants,Gold Plated,,,630.14,9,p014 p058
P047B-YG14,P047B,"Phurba Pendant medium, 14k yellow & white gold, 4.98g, Pendant only",Pendants,14k Gold,1,378.61,849.32,6,
P049-S,P049,"Phurba Pendant Small, Silver, With chain 45cm 4.04g",Pendants,Silver,,,82.19,6,
P049-YG14,P049,"Phurba Pendant Small, Yellow Gold 14k , 2.42g: Pendant only",Pendants,14k Gold,,,424.66,6,p043
P050-S,P050,"Drigug Pendant Small, Silver, With chain 45cm 4.02g",Pendants,Silver,4,25.18,82.19,3,p041
P050-YG14,P050,"Drigug Pendant Small, Yellow Gold 14k, 2.44g Pendant only",Pendants,14k Gold,,,424.66,6,p044
P051-RG14,P051,,Pendants,Rose Gold,,,,3,
P051-WG18,P051,"Endless Knot Pendant, Small, White Gold 18k, With Chain 50cm, 5.07g",Pendants,White Gold,,,1095.89,5,p016
P051-YG14,P051,"Endless Knot Pendant, Small, Yellow Gold 14k With Chain, 3.94g",Pendants,14k Gold,,,671.23,5,p054 p081
