Sales Code,Description,USD,Ngultrum
E035-YGP-CZ,"Om syllable earrings, Vermeil Gold, CZ", $ 178.08 ,"13,000"
E005-YGP-CZ,"AH Syllable Earrings, Yellow Gold plated, CZ Diamonds", $ 136.99 ,"10,000"
E009-YG14,"AH Syllable Stud Earrings 14K Yellow Gold, 1.42g", $ 246.58 ,"18,000"
E009-S,AH Syllable Stud Earrings silver 1.16g, $ 34.25 ,2500
E007-YG14,"Double Dorje Stud Earrings, Single Diamond, .01cts 14k Yellow Gold 2.36g", $ 410.96 ,"30,000"
E011AA-YG18,"Vajra Earrings , 2 diamonds .026cts 18 Yellow Gold 6.84g"," $ 1,958.90 ","143,000"
E011AB-YG18,"Vajra and Bell Earrings, 3 diamonds, .039cts 18 Yellow Gold 7.25g"," $ 2,082.19 ","152,000"
E012-YGP,"Large Melong earrings, silver, gold plated, CZ Diamonds 14.6", $ 178.08 ,"13,000"
E025-S,"Tam Earrings, Small, Silver", $ 82.19 ,"6,000"
E025-YGP,"Tam Earrings, Small, Yellow Gold Plated", $ 95.89 ,"7,000"
E025-YG18,"Tam Earrings, Small, Yellow 18k Gold, 3.92g"," $ 1,123.29 ","82,000"
E014-YG14,"Tam Syllable earrings Solid 14k Gold, 7.79g 2 diamonds (.025cts)"," $ 1,931.51 ","141,000"
E014-YG18,"Tam Syllable earrings 18k gold, 9.39g"," $ 2,856.16 ","208,500"
E033-S-GREEN,"Tam Syllable Earrings, Silver, Green Enamel", $ 82.19 ,"6,000"
E037-S-CZ,"Tam Earrings, Silver, CZ", $ 178.08 ,"13,000"
E034-S-BLUE,"Hung Syllable Earrings, Silver, Blue Enamel", $ 82.19 ,"6,000"
E015-S,Hung Syllable Earrings Silver, $ 82.19 ,6000
E015-YGP,Hung Syllable Earrings Gold Plated 3.35g, $ 95.89 ,"7,000"
E015-YG14,"Hung Syllable Earrings Solid 14k Gold, 4.19g:", $ 712.33 ,"52,000"
E018-S-BCZ,Five pronged vajra earrings silver black diamonds 6g, $ 397.26 ,"29,000"
E018BB-S-BD,Five Pronged Bell EarringsSilver Black CZ 6.25g, $ 410.96 ,"30,000"
E028-S,"Phurba Earrings Smaller, Silver, clip 39mm", $ 123.29 ,"9,000"
E028-YG18,"Phurba Earrings Larger, GOLD 18K, 14.05g 47mm"," $ 2,684.93 ","196,000"
E036-S,"Drigug, Curved Knife Earrings, Silver", $ 123.29 ,9000
E038-S-CZ,"Double Dorje Earrings, Silver, CZ, 3.13g", $ 82.19 ,6000
E038-YGP-CZ,"Double Dorje Earrings, Yellow Gold Plated CZ, 3.03g", $ 95.89 ,7000
E040-YG14-DIA,"Double Dorje Earrings, Clover, Diamonds 0.37 CTS. Gold 14k: 6.85g, Total: 8.34g"," $ 1,767.12 ","129,000"
E042-S-ENAMEL,"Blue Poppy, Earrings Sterling Silver, Hand Applied Enamel, 6.26g", $ 376.71 ,"27,500"
